RE_Locus	A549	Ag04450	Bj	Gm12878	H1hesc	Helas3	Hepg2	Hmec	Hsmm	Huvec	K562	Mcf7	Nhek	Nhlf	Sknshra
chr21:17936130-17936429	0.0000	0.0000	0.0000	0.7037	1.6081	19.6309	0.6120	0.3678	11.6049	4.4870	0.2216	0.0000	0.3536	0.3679	0.0000
chr21:18375469-18376008	0.0000	0.0000	0.0000	0.8808	1.5850	0.2368	0.9053	0.2944	12.0967	0.3876	0.1575	0.0000	6.4088	5.2896	0.0000
chr21:18899437-18899976	0.0000	0.0000	0.0000	0.6261	14.7051	7.8231	24.3218	0.1358	0.2269	11.8061	0.1099	0.0000	19.0405	0.2945	0.0000
chr21:27512409-27512948	0.0000	0.0000	0.0000	0.4368	2.5645	6.6235	7.7819	6.4690	14.1108	13.8456	0.2535	0.0000	8.8819	21.8767	0.0000
chr21:27539128-27539667	0.0000	0.0000	0.0000	1.0075	2.5645	15.7041	17.2057	11.8150	0.4671	29.6573	0.1517	0.0000	15.1855	0.1358	0.0000
chr21:33805255-33805794	0.0000	0.0000	0.0000	0.6031	0.1598	0.1851	22.9844	0.2795	0.5847	0.1788	0.2035	0.0000	10.6582	0.2796	0.0000
chr21:33814787-33815326	0.0000	0.0000	0.0000	0.8089	0.2000	21.2143	0.6338	8.2763	0.4156	10.4924	0.1613	0.0000	6.5747	0.3500	0.0000
chr21:33829738-33830277	0.0000	0.0000	0.0000	0.6412	3.5899	21.2745	18.1329	0.3498	0.2900	23.5854	0.1868	0.0000	0.5072	9.1816	0.0000
chr21:33836208-33836567	0.0000	0.0000	0.0000	0.7428	0.1421	21.2745	39.5265	13.5490	14.2431	47.9258	0.1201	0.0000	0.4060	18.5646	0.0000
chr21:34144082-34144621	0.0000	0.0000	0.0000	21.1764	8.6461	20.7425	21.5535	12.1321	9.1057	20.4749	27.1506	0.0000	15.0713	14.3566	0.0000
chr21:34576102-34576641	0.0000	0.0000	0.0000	12.8868	1.8888	6.7044	26.0721	12.9007	13.0143	0.3680	0.1886	0.0000	18.5317	11.5961	0.0000
chr21:34576304-34576843	0.0000	0.0000	0.0000	12.8868	1.8888	6.7044	26.0721	12.9007	13.0143	0.4606	0.1832	0.0000	18.5317	11.5961	0.0000
chr21:34659331-34659870	0.0000	0.0000	0.0000	0.4774	0.0992	22.4684	9.1666	8.8879	18.0390	6.4500	1.9925	0.0000	14.3746	18.6885	0.0000
chr21:34790034-34790174	0.0000	0.0000	0.0000	0.7498	2.0809	0.2772	0.4952	0.2486	0.6688	0.3274	0.1549	0.0000	11.9245	3.6274	0.0000
chr21:35055563-35056102	0.0000	0.0000	0.0000	0.7285	2.2989	3.8656	0.7418	12.5222	13.3178	26.2963	0.1551	0.0000	27.7697	6.8083	0.0000
chr21:35133809-35134348	0.0000	0.0000	0.0000	0.6158	2.2989	19.9279	23.9011	32.0952	28.2997	60.5422	31.7214	0.0000	6.4769	22.9219	0.0000
chr21:35574170-35574709	0.0000	0.0000	0.0000	0.6164	23.5908	0.3976	77.0364	0.1735	0.4003	0.2284	23.7388	0.0000	0.1873	0.2488	0.0000
chr21:35898945-35899484	0.0000	0.0000	0.0000	17.3984	9.5059	20.0969	30.4577	27.1877	19.5873	36.2720	0.0968	0.0000	21.3621	85.2782	0.0000
chr21:36167773-36168312	0.0000	0.0000	0.0000	0.3850	0.2288	47.0719	25.2163	28.4870	19.5413	0.5268	4.8788	0.0000	39.0619	17.1808	0.0000
chr21:36179700-36180239	0.0000	0.0000	0.0000	11.2349	0.1369	67.0257	7.7995	28.4870	30.5201	118.4547	5.5867	0.0000	39.0619	17.1808	0.0000
chr21:36184660-36185199	0.0000	0.0000	0.0000	0.6092	0.1837	67.0257	58.0542	28.4870	4.7900	44.3261	0.1533	0.0000	39.0619	17.1808	0.0000
chr21:36208425-36208675	0.0000	0.0000	0.0000	0.7556	0.1456	26.9676	103.5625	10.2929	15.1154	21.3911	2.3357	0.0000	0.3855	17.1808	0.0000
chr21:36250862-36251096	0.0000	0.0000	0.0000	0.6860	0.1686	0.3183	1.0640	33.6850	0.5369	39.3763	0.1901	0.0000	37.3531	17.1808	0.0000
chr21:36254016-36254555	0.0000	0.0000	0.0000	9.3552	0.1084	31.1274	24.0971	33.6850	30.2553	39.3763	18.8402	0.0000	37.3531	17.1808	0.0000
chr21:37802300-37802839	0.0000	0.0000	0.0000	16.6043	1.7495	10.7910	0.8518	24.9183	14.2805	58.0229	46.6367	0.0000	18.7876	79.4823	0.0000
chr21:37810040-37810579	0.0000	0.0000	0.0000	0.6991	1.7495	0.1468	0.3928	0.4001	0.4256	9.5636	0.1726	0.0000	4.4662	0.1736	0.0000
chr21:37843648-37843921	0.0000	0.0000	0.0000	16.2360	1.7973	3.7036	0.8086	0.2395	0.4930	0.3154	0.1759	0.0000	3.7097	0.4003	0.0000
chr21:37850516-37850820	0.0000	0.0000	0.0000	0.4682	1.7973	0.3021	22.7487	4.3362	25.1942	31.6532	0.1178	0.0000	15.2652	0.2396	0.0000
chr21:38230668-38230968	0.0000	0.0000	0.0000	0.5613	1.5514	38.1164	47.4902	0.3212	0.3169	0.4230	0.1412	0.0000	0.4825	0.3214	0.0000
chr21:38255995-38256567	0.0000	0.0000	0.0000	0.5792	1.6437	4.6653	1.0121	0.2546	7.0499	0.3353	0.1457	0.0000	0.3429	0.2548	0.0000
chr21:38282034-38282644	0.0000	0.0000	0.0000	0.6868	0.1702	30.9712	25.1798	19.4622	14.4297	32.9435	0.1728	0.0000	20.0229	31.3936	0.0000
chr21:38282896-38283232	0.0000	0.0000	0.0000	0.8298	0.1654	30.9712	16.9118	19.4622	14.4297	32.9435	0.2087	0.0000	20.0229	31.3936	0.0000
chr21:38299551-38300090	0.0000	0.0000	0.0000	0.4171	0.1398	0.3782	0.7194	0.2950	5.8726	0.3884	0.1049	0.0000	0.2393	17.4120	0.0000
chr21:38936549-38937088	0.0000	0.0000	0.0000	13.9978	2.6026	16.9613	8.6270	27.7527	20.4380	39.1135	30.8158	0.0000	20.2819	46.1684	0.0000
chr21:39355951-39356490	0.0000	0.0000	0.0000	0.9982	0.1399	0.2688	0.5019	0.1896	0.4977	0.2496	0.2511	0.0000	8.8685	0.2951	0.0000
chr21:39414514-39415053	0.0000	0.0000	0.0000	0.6468	0.0874	0.1876	1.1577	0.2978	0.4835	0.3921	0.1627	0.0000	0.5519	0.1897	0.0000
chr21:39511717-39512242	0.0000	0.0000	0.0000	0.8558	0.1383	24.2704	0.6930	9.3103	0.4088	0.3809	0.2153	0.0000	0.3303	0.2979	0.0000
chr21:39630999-39631538	0.0000	0.0000	0.0000	0.8842	0.1716	7.5755	0.9294	0.2893	13.3674	0.3220	0.2224	0.0000	17.0236	16.8998	0.0000
chr21:39631260-39631799	0.0000	0.0000	0.0000	0.8426	0.1558	7.5755	0.7368	0.2446	13.3674	0.3223	0.2120	0.0000	17.0236	18.5611	0.0000
chr21:39633687-39634226	0.0000	0.0000	0.0000	0.7969	0.1587	7.5755	0.8535	0.2448	13.3674	0.2013	0.2005	0.0000	0.4431	5.3037	0.0000
chr21:39649445-39650105	0.0000	0.0000	0.0000	0.9796	0.1063	7.5755	0.5485	22.4172	13.3674	5.3167	0.2464	0.0000	26.4608	27.0659	0.0000
chr21:39664274-39664813	0.0000	0.0000	0.0000	0.7453	1.6145	7.5755	0.8615	15.6746	13.3674	0.3186	0.1875	0.0000	13.0100	5.6215	0.0000
chr21:39675109-39675648	0.0000	0.0000	0.0000	0.4491	1.6145	7.5755	0.8370	23.4292	13.3674	7.2839	0.1130	0.0000	27.8948	12.8233	0.0000
chr21:39715695-39715953	0.0000	0.0000	0.0000	0.8414	1.9380	7.5755	0.7076	0.1529	25.6825	11.5571	0.2117	0.0000	0.3512	4.3075	0.0000
chr21:39723749-39724288	0.0000	0.0000	0.0000	1.0063	1.9380	7.5755	0.7082	9.4025	21.9241	15.0184	0.2531	0.0000	10.4737	16.2955	0.0000
chr21:40159471-40159766	0.0000	0.0000	0.0000	0.5507	2.1466	12.7888	67.2070	18.5147	0.4091	0.3951	13.3664	0.0000	23.9630	0.2894	0.0000
chr21:40159570-40160109	0.0000	0.0000	0.0000	0.9279	2.1466	12.7888	67.2070	18.5147	0.2555	0.3587	13.3664	0.0000	23.9630	0.2447	0.0000
chr21:40166005-40166544	0.0000	0.0000	0.0000	0.8307	2.1466	4.1070	8.7535	0.2419	0.4044	0.3656	0.1385	0.0000	0.4068	0.2449	0.0000
chr21:40170379-40170918	0.0000	0.0000	0.0000	1.0006	2.1466	8.7669	21.3520	12.9537	0.5016	0.2448	9.2004	0.0000	26.5126	0.1530	0.0000
chr21:40173344-40173560	0.0000	0.0000	0.0000	0.8131	2.1466	0.4326	21.3520	0.3001	0.4554	0.2935	0.2334	0.0000	26.5126	0.2421	0.0000
chr21:40173378-40173917	0.0000	0.0000	0.0000	0.6510	2.1466	0.2589	21.3520	0.2724	0.4640	0.3029	0.2090	0.0000	26.5126	0.3002	0.0000
chr21:40174623-40175024	0.0000	0.0000	0.0000	0.8334	2.1466	0.3473	21.3520	0.2776	0.3108	0.3591	8.8141	0.0000	26.5126	0.2726	0.0000
chr21:40211471-40212010	0.0000	0.0000	0.0000	0.4911	0.1274	27.2480	0.4423	30.3939	16.5240	13.5762	14.7835	0.0000	29.3639	35.6992	0.0000
chr21:40225251-40225790	0.0000	0.0000	0.0000	0.9018	1.8802	30.5714	0.7000	9.8968	0.3726	14.5138	0.2517	0.0000	10.2250	0.2778	0.0000
chr21:40466936-40467475	0.0000	0.0000	0.0000	0.6519	1.9414	0.2753	108.6343	0.1859	0.3845	0.4339	0.2045	0.0000	0.2615	0.1860	0.0000
chr21:40685346-40685885	0.0000	0.0000	0.0000	47.0307	2.8371	18.7048	39.7187	23.1928	20.8367	17.5163	27.2658	0.0000	17.6344	34.1550	0.0000
chr21:41005534-41006073	0.0000	0.0000	0.0000	0.9903	2.3383	0.3189	0.8682	0.2229	31.0953	0.2181	0.1638	0.0000	0.4107	9.4282	0.0000
chr21:41879864-41880403	0.0000	0.0000	0.0000	0.7462	0.1315	0.2050	0.7883	7.5852	0.4559	0.5220	0.2096	0.0000	0.3990	0.2230	0.0000
chr21:43032925-43033464	0.0000	0.0000	0.0000	0.7685	1.8815	17.2823	0.8033	18.7549	23.2789	0.3382	0.1235	0.0000	17.7389	17.6040	0.0000
chr21:43050504-43050859	0.0000	0.0000	0.0000	0.6826	0.1559	2.9078	0.5380	18.9570	14.2132	0.4475	0.2269	0.0000	21.9796	0.2301	0.0000
chr21:43097874-43098173	0.0000	0.0000	0.0000	0.7918	0.1884	31.1927	34.6716	71.5830	0.5508	0.4624	0.1640	0.0000	36.0741	0.2729	0.0000
chr21:43098487-43098869	0.0000	0.0000	0.0000	0.6420	5.4207	31.1927	34.6716	71.5830	32.3847	0.4406	0.2491	0.0000	36.0741	0.3297	0.0000
chr21:43104410-43104949	0.0000	0.0000	0.0000	0.4922	0.0947	28.3870	0.6450	35.3261	14.0636	0.4167	0.1877	0.0000	36.0741	0.1657	0.0000
chr21:43135735-43136274	0.0000	0.0000	0.0000	0.7516	4.6992	13.0154	52.6116	16.7549	0.2769	0.5122	0.1933	0.0000	23.5813	0.3966	0.0000
chr21:43178565-43179104	0.0000	0.0000	0.0000	0.7848	2.1564	9.8254	0.6656	25.0066	0.6626	0.3897	0.1717	0.0000	29.5316	0.2570	0.0000
chr21:43188588-43189127	0.0000	0.0000	0.0000	0.8372	0.2267	4.2328	24.3065	25.0066	12.4108	0.2348	0.1992	0.0000	29.5316	12.6133	0.0000
chr21:44630089-44630628	0.0000	0.0000	0.0000	0.8664	1.7633	67.9424	9.7733	0.2300	0.4293	0.4400	0.1615	0.0000	0.3373	0.3400	0.0000
chr21:44751994-44752310	0.0000	0.0000	0.0000	0.5991	2.0620	48.3406	0.7891	15.8632	21.2311	16.4329	0.1238	0.0000	0.3376	31.3079	0.0000
chr21:44752165-44752704	0.0000	0.0000	0.0000	0.9673	2.0620	48.3406	0.9534	15.8632	21.2311	16.4329	0.1891	0.0000	18.9382	31.3079	0.0000
chr21:44753165-44753648	0.0000	0.0000	0.0000	0.5373	2.0620	48.3406	8.8381	15.8632	21.2311	16.4329	0.1974	0.0000	18.9382	31.3079	0.0000
chr21:44760573-44761004	0.0000	0.0000	0.0000	0.5649	2.0620	22.6060	0.4793	6.3227	10.2716	25.7294	0.2106	0.0000	27.1078	7.8915	0.0000
chr21:44761226-44761652	0.0000	0.0000	0.0000	0.4944	2.0620	22.6060	1.1470	6.3227	10.2716	25.7294	0.2179	0.0000	12.1182	7.8915	0.0000
chr21:44762738-44763466	0.0000	0.0000	0.0000	0.6031	2.0620	22.6060	0.7432	0.2727	10.2716	0.5262	0.1507	0.0000	0.2109	0.3513	0.0000
chr21:44764160-44764667	0.0000	0.0000	0.0000	1.0039	2.0620	22.6060	0.9833	20.5081	0.5681	0.2880	0.2433	0.0000	7.7147	0.3348	0.0000
chr21:44832116-44832655	0.0000	0.0000	0.0000	0.6921	2.0620	30.9035	1.0160	12.9768	22.5420	0.4852	0.1352	0.0000	10.9001	0.3166	0.0000
chr21:44835567-44836106	0.0000	0.0000	0.0000	0.8202	10.2217	30.9035	8.2187	0.3295	8.2640	0.4343	0.1421	0.0000	11.3601	0.3892	0.0000
chr21:44839299-44839838	0.0000	0.0000	0.0000	0.4157	2.0620	30.9035	0.9682	0.1657	23.4351	0.5232	0.1244	0.0000	15.2656	0.2961	0.0000
chr21:44847035-44847331	0.0000	0.0000	0.0000	10.5646	2.0620	30.9035	0.9157	20.2612	23.4351	18.3725	1.7037	0.0000	15.2656	23.5651	0.0000
chr21:44848098-44848369	0.0000	0.0000	0.0000	10.5646	2.0620	30.9035	12.7618	20.2612	23.4351	18.3725	1.7037	0.0000	15.2656	21.7866	0.0000
chr21:44860419-44861441	0.0000	0.0000	0.0000	32.4146	2.0620	30.9035	68.0094	14.4033	6.4568	0.4252	0.1517	0.0000	12.9380	0.1784	0.0000
chr21:44866102-44866528	0.0000	0.0000	0.0000	0.7309	2.0620	30.9035	68.0094	0.3964	0.5869	15.5142	0.2525	0.0000	12.8271	0.3343	0.0000
chr21:44866102-44866545	0.0000	0.0000	0.0000	0.7312	2.0620	30.9035	68.0094	0.2569	0.5593	15.5142	0.1741	0.0000	12.8271	0.3998	0.0000
chr21:44884987-44885252	0.0000	0.0000	0.0000	0.5670	2.0620	4.2652	55.6348	0.3399	0.5290	0.3404	0.2063	0.0000	0.3337	0.2188	0.0000
chr21:44897803-44898291	0.0000	0.0000	0.0000	0.7926	2.1119	82.1654	29.4495	17.9777	0.6503	52.8821	0.1046	0.0000	15.8354	0.3687	0.0000
chr21:44897803-44898295	0.0000	0.0000	0.0000	0.5605	2.1119	82.1654	29.4495	17.9777	0.4947	52.8821	0.1839	0.0000	15.8354	0.3300	0.0000
chr21:44910390-44910656	0.0000	0.0000	0.0000	0.6802	2.1119	0.3219	1.1256	0.3511	0.2981	0.4358	0.1839	0.0000	0.4139	0.3976	0.0000
chr21:44914527-44914700	0.0000	0.0000	0.0000	0.4445	2.1119	49.6488	29.5271	20.7567	45.1171	25.4834	6.3371	0.0000	23.1026	9.9855	0.0000
chr21:44917912-44918451	0.0000	0.0000	0.0000	0.3008	2.1119	49.6488	10.1622	20.7567	45.1171	10.5281	0.1426	0.0000	23.1026	18.5074	0.0000
chr21:44922240-44922750	0.0000	0.0000	0.0000	0.4060	2.1119	49.6488	66.1587	20.8820	45.1171	12.0017	0.1994	0.0000	23.1026	0.3231	0.0000
chr21:44922978-44923355	0.0000	0.0000	0.0000	0.6861	2.1119	49.6488	66.1587	20.8820	45.1171	0.2568	0.1410	0.0000	23.1026	0.2587	0.0000
chr21:44936643-44937264	0.0000	0.0000	0.0000	0.9385	2.1119	32.3557	22.6141	36.6025	45.1171	25.8405	0.1711	0.0000	60.2426	0.3311	0.0000
chr21:45005897-45006413	0.0000	0.0000	0.0000	0.7225	0.1469	11.3512	21.1605	26.9777	16.3952	54.2786	0.1118	0.0000	12.3464	36.7496	0.0000
chr21:45010043-45010582	0.0000	0.0000	0.0000	0.4795	0.1943	3.2725	21.1605	26.9777	16.3952	6.9820	0.0757	0.0000	12.3464	2.6909	0.0000
chr21:45011428-45011967	0.0000	0.0000	0.0000	0.6482	0.2008	3.2725	21.1605	26.9777	16.3952	6.9820	0.1021	0.0000	12.3464	2.6909	0.0000
chr21:45020575-45020861	0.0000	0.0000	0.0000	0.8167	0.1913	3.1920	0.8564	20.9608	16.3952	0.4716	0.1726	0.0000	12.3464	16.5169	0.0000
chr21:45029623-45029781	0.0000	0.0000	0.0000	0.9035	0.1809	3.7620	39.2592	16.3274	16.3952	13.5350	0.2361	0.0000	12.3464	6.2311	0.0000
chr21:45059582-45060121	0.0000	0.0000	0.0000	0.6367	0.2224	9.3294	0.5160	15.6098	5.5009	0.3409	0.1817	0.0000	17.4422	0.1951	0.0000
chr21:45066431-45066634	0.0000	0.0000	0.0000	0.7882	0.1692	10.5692	0.9668	9.7845	37.7613	8.2481	0.1206	0.0000	12.4177	6.3637	0.0000
chr21:45132033-45132841	0.0000	0.0000	0.0000	0.4035	2.3792	52.4813	1.1563	12.4990	27.7222	0.5179	5.7644	0.0000	42.1903	0.3583	0.0000
chr21:45148313-45148500	0.0000	0.0000	0.0000	19.2883	14.8089	15.9551	30.1393	10.9964	13.3331	19.4083	40.5671	0.0000	28.0297	34.3874	0.0000
chr21:46470640-46471179	0.0000	0.0000	0.0000	0.5523	0.1020	6.8345	0.6328	0.3346	52.0941	3.5413	0.1631	0.0000	0.3758	18.5403	0.0000
chr21:46470870-46471409	0.0000	0.0000	0.0000	0.6606	0.1910	6.8345	1.0662	0.3165	52.0941	3.5413	0.2054	0.0000	0.3829	18.5403	0.0000
chr21:46739403-46739942	0.0000	0.0000	0.0000	0.7310	2.6036	66.9985	34.4464	0.3890	69.0057	92.8572	0.2273	0.0000	0.2564	18.3732	0.0000
chr21:46749984-46750391	0.0000	0.0000	0.0000	0.5983	2.6036	7.9043	18.5863	0.2960	24.9673	0.3902	0.1602	0.0000	0.3075	15.1927	0.0000
chr21:46783931-46784285	0.0000	0.0000	0.0000	0.6078	2.6036	18.5668	20.5560	19.6832	43.2715	74.1446	11.5704	0.0000	17.2247	40.5669	0.0000
chr21:46785643-46786182	0.0000	0.0000	0.0000	0.7414	2.6036	18.5668	20.5560	2.6895	43.2715	74.1446	0.1983	0.0000	0.3173	40.5669	0.0000
chr21:46797948-46798487	0.0000	0.0000	0.0000	0.6701	13.2364	0.3128	0.9545	0.1783	0.5585	0.4019	0.1015	0.0000	0.3762	0.2590	0.0000
chr21:46847511-46848050	0.0000	0.0000	0.0000	0.6187	2.6036	5.9694	16.1620	10.6017	9.7702	23.4791	0.1389	0.0000	18.9040	14.7978	0.0000
