Gene_ID	Gene_Name	TSS_ID	TSS_Locus	Strand	Max_Expr	RE_Locus	Max_Hist	Distance	Closest_Locus	Closest_TSS	Histone	Correlation	Correlation_P_Value	Distance_P_Value	CnD_P_Value	Q_Value
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44848098-44848369	33.68	-300412	F	F	H3k27ac	-0.88021731	3.044e-03	6.009e-01	1.336e-02	7.358e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470640-46471179	10.42	-23305	F	F	H3k27ac	0.87886163	3.124e-03	4.712e-02	1.446e-03	3.339e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46785643-46786182	37.12	176203	F	F	H3k27ac	0.87664523	3.249e-03	3.528e-01	8.907e-03	6.283e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43135735-43136274	27.31	50992	F	F	H3k27ac	0.87355347	3.420e-03	1.025e-01	3.139e-03	4.106e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470870-46471409	10.42	-23106	T	F	H3k27ac	0.86993840	3.637e-03	4.673e-02	1.645e-03	3.373e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44848098-44848369	33.68	-300425	F	F	H3k27ac	-0.86959225	3.659e-03	6.010e-01	1.566e-02	7.523e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44860419-44861441	21.06	-277617	F	F	H3k27ac	0.86930733	3.659e-03	5.557e-01	1.464e-02	7.523e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44839299-44839838	33.68	-7170	F	T	H3k4me3	0.75203468	3.679e-03	1.000e+00	2.430e-02	8.123e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44847035-44847331	36.06	-27	T	T	H3k4me3	0.73877332	3.679e-03	1.524e-01	4.759e-03	4.807e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	1322	T	T	H3k4me3	0.75008054	3.679e-03	1.000e+00	2.430e-02	8.123e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44860419-44861441	21.06	-277616	F	F	H3k27ac	0.86879933	3.694e-03	5.557e-01	1.475e-02	7.523e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44753165-44753648	18.69	93360	F	F	H3k27ac	0.86609768	3.865e-03	1.871e-01	5.953e-03	5.291e-01
ENSG00000230479.1	AP000695.6	ENST00000429588.1	chr21:37802658-37802658	+	57.14	chr21:37810040-37810579	15.64	7382	F	T	H3k27ac	0.86398909	3.922e-03	1.529e-02	6.431e-04	2.643e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44848098-44848369	33.68	-300429	F	F	H3k27ac	-0.86369439	3.933e-03	6.010e-01	1.666e-02	7.523e-01
ENSG00000183255.6	PTTG1IP	ENST00000423073.2	chr21:46293650-46293650	-	249.00	chr21:46783931-46784285	16.11	-490281	F	F	H3k27ac	0.86289955	3.979e-03	9.806e-01	2.554e-02	8.123e-01
ENSG00000157551.11	KCNJ15	ENST00000398934.1	chr21:39644429-39644429	+	5.82	chr21:39649445-39650105	19.22	-5016	T	T	H3k4me3	0.71699108	4.292e-03	1.000e+00	2.769e-02	8.143e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	-1322	T	T	H3k27ac	0.85432499	4.457e-03	3.181e-03	1.725e-04	2.643e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470870-46471409	10.42	-23084	T	F	H3k27ac	0.85417183	4.457e-03	4.668e-02	1.972e-03	3.506e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44753165-44753648	18.69	-395133	F	F	H3k27ac	-0.85065838	4.754e-03	7.904e-01	2.474e-02	8.123e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44922978-44923355	15.45	-215673	F	F	H3k27ac	0.84923846	4.868e-03	4.316e-01	1.505e-02	7.523e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45005897-45006413	23.97	-142368	F	F	H3k27ac	-0.84691769	5.027e-03	2.851e-01	1.082e-02	6.941e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44914527-44914700	16.37	-234081	F	F	H3k27ac	-0.84479444	5.210e-03	4.683e-01	1.712e-02	7.523e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44839299-44839838	33.68	444548	F	F	H3k27ac	0.84500891	5.210e-03	8.892e-01	2.953e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44936643-44937264	18.84	-211517	F	F	H3k27ac	-0.84413415	5.255e-03	4.234e-01	1.582e-02	7.523e-01
ENSG00000188660.3	C21orf125	ENST00000448049.1	chr21:44866481-44866481	+	5.38	chr21:44762738-44763466	17.99	-103015	F	F	H3k27ac	0.84360031	5.289e-03	2.066e-01	8.545e-03	6.245e-01
ENSG00000215386.5	C21orf34	ENST00000435697.1	chr21:17791752-17791752	+	9.78	chr21:17613837-17614376	12.94	-177376	F	F	H3k27ac	0.84236001	5.381e-03	3.551e-01	1.387e-02	7.358e-01
ENSG00000205581.6	HMGN1	ENST00000471260.1	chr21:40720546-40720546	-	32.35	chr21:40685346-40685885	38.40	34661	T	F	H3k27ac	-0.84115785	5.460e-03	6.982e-02	3.383e-03	4.149e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470870-46471409	10.42	-23075	T	F	H3k27ac	0.84070649	5.506e-03	4.666e-02	2.381e-03	3.681e-01
ENSG00000205581.6	HMGN1	ENST00000482192.1	chr21:40720549-40720549	-	32.44	chr21:40685346-40685885	38.40	34664	T	F	H3k27ac	-0.84062664	5.506e-03	6.983e-02	3.408e-03	4.149e-01
ENSG00000157538.8	DSCR3	ENST00000399000.3	chr21:38640220-38640220	-	5.89	chr21:38255995-38256567	4.86	383653	F	F	H3k27ac	0.83952702	5.563e-03	7.674e-01	2.756e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44753165-44753648	18.69	-395146	F	F	H3k27ac	-0.83855472	5.631e-03	7.904e-01	2.855e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44914527-44914700	16.37	-234094	F	F	H3k27ac	-0.83841816	5.631e-03	4.683e-01	1.830e-02	7.671e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44914527-44914700	16.37	-234098	F	F	H3k27ac	-0.83749078	5.734e-03	4.683e-01	1.858e-02	7.689e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43098487-43098869	18.89	88397	F	F	H3k27ac	0.83605570	5.768e-03	1.771e-01	8.057e-03	6.135e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27512409-27512948	5.36	30116	F	F	H3k27ac	0.83618655	5.768e-03	6.074e-02	3.138e-03	4.106e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:41005534-41006073	1.95	-20786	T	F	H3k27ac	0.83556086	5.780e-03	4.209e-02	2.267e-03	3.681e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27512409-27512948	5.36	30117	F	F	H3k27ac	0.83546868	5.780e-03	6.074e-02	3.144e-03	4.106e-01
ENSG00000159079.12	C21orf59	ENST00000382549.4	chr21:33984896-33984896	-	213.74	chr21:33814787-33815326	6.75	169570	F	F	H3k27ac	-0.83512332	5.814e-03	3.395e-01	1.427e-02	7.459e-01
ENSG00000183036.6	PCP4	ENST00000468717.1	chr21:41239377-41239377	+	29.60	chr21:41005534-41006073	1.95	-233304	T	F	H3k27ac	0.83512304	5.814e-03	4.669e-01	1.875e-02	7.701e-01
ENSG00000215386.5	C21orf34	ENST00000453910.1	chr21:17791838-17791838	+	10.60	chr21:17936130-17936429	11.58	144292	T	F	H3k27ac	0.83461923	5.848e-03	2.888e-01	1.247e-02	7.358e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44753165-44753648	18.69	-395150	F	F	H3k27ac	-0.83434317	5.859e-03	7.904e-01	2.952e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898291	47.59	-250490	F	F	H3k27ac	-0.83352181	5.928e-03	5.012e-01	2.026e-02	7.855e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27512409-27512948	5.36	30137	F	F	H3k27ac	0.83354891	5.928e-03	6.078e-02	3.217e-03	4.106e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45005897-45006413	23.97	-142381	F	F	H3k27ac	-0.83348408	5.928e-03	2.851e-01	1.248e-02	7.358e-01
ENSG00000142192.13	APP	ENST00000346798.3	chr21:27542972-27542972	-	18.34	chr21:27512409-27512948	5.36	30024	F	F	H3k27ac	0.83305746	5.951e-03	6.055e-02	3.217e-03	4.106e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898295	47.59	-250486	F	F	H3k27ac	-0.83271038	5.985e-03	5.012e-01	2.043e-02	7.855e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27512409-27512948	5.36	30157	F	F	H3k27ac	0.83212851	6.053e-03	6.082e-02	3.279e-03	4.106e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44936643-44937264	18.84	-211530	F	F	H3k27ac	-0.83136717	6.076e-03	4.234e-01	1.791e-02	7.671e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45005897-45006413	23.97	-142385	F	F	H3k27ac	-0.83127410	6.076e-03	2.851e-01	1.275e-02	7.358e-01
ENSG00000142192.13	APP	ENST00000415997.1	chr21:27423348-27423348	-	100.99	chr21:27512409-27512948	5.36	-89061	T	F	H3k27ac	0.82875165	6.350e-03	1.786e-01	8.824e-03	6.283e-01
ENSG00000142192.13	APP	ENST00000491395.1	chr21:27423334-27423334	-	100.83	chr21:27512409-27512948	5.36	-89075	T	F	H3k27ac	0.82852840	6.384e-03	1.786e-01	8.866e-03	6.283e-01
ENSG00000159259.4	CHAF1B	ENST00000314103.4	chr21:37757676-37757676	+	57.75	chr21:37850516-37850820	60.77	92840	F	F	H3k27ac	-0.82829194	6.429e-03	1.859e-01	9.240e-03	6.384e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44936643-44937264	18.84	-211534	F	F	H3k27ac	-0.82826807	6.429e-03	4.234e-01	1.880e-02	7.701e-01
ENSG00000160201.7	U2AF1	ENST00000291552.4	chr21:44527697-44527697	-	450.40	chr21:44884987-44885252	2.93	-357290	F	F	H3k27ac	-0.82737764	6.509e-03	7.147e-01	2.963e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000291565.4	chr21:45138993-45138993	+	92.62	chr21:44922978-44923355	15.45	-215638	F	F	H3k27ac	0.82731625	6.509e-03	4.315e-01	1.931e-02	7.802e-01
ENSG00000159079.12	C21orf59	ENST00000458138.1	chr21:33984865-33984865	-	205.82	chr21:33814787-33815326	6.75	169539	F	F	H3k27ac	-0.82566350	6.646e-03	3.394e-01	1.600e-02	7.523e-01
ENSG00000160209.12	PDXK	ENST00000398081.1	chr21:45138975-45138975	+	91.48	chr21:44922978-44923355	15.45	-215620	F	F	H3k27ac	0.82473606	6.692e-03	4.315e-01	1.977e-02	7.838e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44922978-44923355	15.45	-215702	F	F	H3k27ac	0.82440158	6.714e-03	4.316e-01	1.983e-02	7.838e-01
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44922978-44923355	15.45	-215623	F	F	H3k27ac	0.82443046	6.714e-03	4.315e-01	1.983e-02	7.838e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44917912-44918451	14.10	-230330	F	F	H3k27ac	-0.82230848	6.897e-03	4.610e-01	2.146e-02	7.883e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576304-34576843	14.77	-338528	F	F	H3k27ac	-0.82194283	6.920e-03	6.772e-01	2.982e-02	8.143e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576304-34576843	14.77	-338533	F	F	H3k27ac	-0.82193379	6.920e-03	6.772e-01	2.982e-02	8.143e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44922978-44923355	15.45	-215703	F	F	H3k27ac	0.82174728	6.931e-03	4.316e-01	2.038e-02	7.855e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576304-34576843	14.77	-338507	F	F	H3k27ac	-0.82149943	6.977e-03	6.772e-01	3.002e-02	8.143e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44752165-44752704	18.69	94304	F	F	H3k27ac	0.81909324	7.102e-03	1.890e-01	1.022e-02	6.831e-01
ENSG00000205581.6	HMGN1	ENST00000380748.1	chr21:40720979-40720979	-	59.65	chr21:40466936-40467475	5.30	253504	F	F	H3k27ac	-0.81862065	7.136e-03	5.073e-01	2.397e-02	8.123e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44832116-44832655	24.82	437365	F	F	H3k27ac	0.81859821	7.136e-03	8.748e-01	3.793e-02	8.381e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45020575-45020861	28.70	-173567	F	F	H3k27ac	0.81828429	7.159e-03	3.473e-01	1.740e-02	7.543e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898291	47.59	-250503	F	F	H3k27ac	-0.81700713	7.319e-03	5.012e-01	2.424e-02	8.123e-01
ENSG00000160201.7	U2AF1	ENST00000380276.2	chr21:44527675-44527675	-	622.77	chr21:45011428-45011967	4.34	-483753	F	F	H3k27ac	-0.81650411	7.341e-03	9.675e-01	4.224e-02	8.588e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898295	47.59	-250499	F	F	H3k27ac	-0.81657032	7.341e-03	5.012e-01	2.431e-02	8.123e-01
ENSG00000160201.7	U2AF1	ENST00000486519.1	chr21:44527680-44527680	-	614.66	chr21:45011428-45011967	4.34	-483748	F	F	H3k27ac	-0.81567771	7.421e-03	9.675e-01	4.262e-02	8.588e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27539128-27539667	52.78	3397	T	F	H3k27ac	0.81543759	7.467e-03	7.329e-03	5.918e-04	2.643e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27539128-27539667	52.78	3398	T	F	H3k27ac	0.81473297	7.558e-03	7.331e-03	5.985e-04	2.643e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576102-34576641	14.77	-338730	F	F	H3k27ac	-0.81423671	7.592e-03	6.776e-01	3.226e-02	8.221e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576102-34576641	14.77	-338735	F	F	H3k27ac	-0.81422815	7.592e-03	6.776e-01	3.226e-02	8.221e-01
ENSG00000142197.7	DOPEY2	ENST00000270190.4	chr21:37529080-37529080	+	5.34	chr21:37850516-37850820	60.77	321436	F	F	H3k27ac	0.81403452	7.626e-03	6.430e-01	3.098e-02	8.221e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576102-34576641	14.77	-338709	F	F	H3k27ac	-0.81380311	7.661e-03	6.776e-01	3.250e-02	8.221e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:44884987-44885252	2.93	-357299	F	F	H3k27ac	-0.81382739	7.661e-03	7.147e-01	3.399e-02	8.221e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27539128-27539667	52.78	3418	T	F	H3k27ac	0.81287111	7.752e-03	7.371e-03	6.154e-04	2.643e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898291	47.59	-250507	F	F	H3k27ac	-0.81174521	7.832e-03	5.013e-01	2.567e-02	8.123e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898295	47.59	-250503	F	F	H3k27ac	-0.81157751	7.843e-03	5.013e-01	2.571e-02	8.123e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27539128-27539667	52.78	3438	T	F	H3k27ac	0.81112144	7.900e-03	7.411e-03	6.291e-04	2.643e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44917912-44918451	14.10	-230343	F	F	H3k27ac	-0.81020547	7.980e-03	4.610e-01	2.430e-02	8.123e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:45011428-45011967	4.34	-483740	F	F	H3k27ac	-0.81010383	7.991e-03	9.675e-01	4.533e-02	8.615e-01
